Data,Model,Label,Accuracy,Precision,Recall,ROC_AUC
subset,ClinicalBERT MLP (Base),admitted_bin,0.486,0.4940652818991098,0.21707953063885269,0.48586540462566546
subset,ClinicalBERT MLP (refined),admitted_bin,0.5136666666666667,0.5194401244167963,0.6531942633637549,0.5121326779447574
full,Hybrid LSTM (Base),admitted_bin,0.5007006071929005,0.5007874015748032,0.9744204636290968,0.5006537834385167
full,LSTM (Refined),admitted_bin,0.5011676786548341,0.5014376078205866,0.6970423661071143,0.5003833051724642
full,LinearSVM (Base),admitted_bin,0.4990992193234136,0.4999386277157235,0.5426325606181721,0.4954552777151802
full,LinearSVM (tuned),admitted_bin,0.4988323213451658,0.4996920044351361,0.5403677058353318,0.4958536757458535
full,LogReg (Base),admitted_bin,0.4986988723560419,0.4995679545735094,0.5391686650679457,0.4950588742569194
full,LogReg (tuned),admitted_bin,0.4987655968506038,0.4996318114874816,0.5423661071143085,0.4954612258150526
subset,ClinicalBERT MLP (Base),high_risk,0.6213333333333333,0.6221322537112011,0.9913978494623656,0.5660733823806829
subset,ClinicalBERT MLP (refined),high_risk,0.7393333333333333,0.8546052631578948,0.6983870967741935,0.8415020750801735
full,Hybrid LSTM (Base),high_risk,0.9171949022486154,0.960824248232898,0.8976942019252294,0.973169017681327
full,LSTM (Refined),high_risk,0.9809167945552812,0.9989614585737364,0.9689948511305126,0.9996712680996248
full,LinearSVM (Base),high_risk,0.811303129378795,0.8334425513324596,0.8541526751734945,0.8962534364105798
full,LinearSVM (tuned),high_risk,0.8038299859878562,0.8624818577648766,0.7981867024848892,0.8963399233936508
full,LogReg (Base),high_risk,0.8120370988189765,0.8340067707764551,0.8548242668457577,0.8962075578121194
full,LogReg (tuned),high_risk,0.8045639554280376,0.8630153548543102,0.7989702261025297,0.8963161057254456
